title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Miss Jerry,1894,9.0,9779,0,5.4,212.0,45,Romance,,
"Story of the Kelly Gang, The",1906,574.0,1349,1,6.0,903.0,70,Action,Adventure,Biography
Cleopatra,1912,2101.0,2003,2,5.1,622.0,100,Drama,History,
A Florida Enchantment,1914,3973.0,4457,2,5.8,300.0,63,Comedy,,
"Birth of a Nation, The",1915,4972.0,1258,2,6.1,26403.0,195,Drama,History,War
Gretchen the Greenhorn,1916,6745.0,2008,3,6.4,537.0,58,Crime,Drama,Romance
Intolerance: Love&#39;s Struggle Throughout the Ages,1916,6864.0,5944,0,7.7,16762.0,163,Drama,History,
Lady Windermere&#39;s Fan,1916,279914.0,2014,3,5.3,66.0,66,Comedy,Drama,
Snow White,1916,7361.0,7004,3,6.3,444.0,63,Fantasy,Romance,
A Romance of the Redwoods,1917,8519.0,2015,0,6.2,863.0,70,Adventure,Comedy,Drama
A Tale of Two Cities,1917,8652.0,1981,3,6.1,163.0,70,Drama,History,Romance
"Poor Little Rich Girl, The",1917,8443.0,1994,3,6.7,1550.0,78,Comedy,Drama,Family
"Raffles, the Amateur Cracksman",1917,8489.0,2019,2,6.4,190.0,70,Adventure,Crime,Romance
Rebecca of Sunnybrook Farm,1917,8499.0,1993,3,6.3,895.0,78,Comedy,Drama,
Ich mochte kein Mann sein,1918,10281.0,7108,3,6.8,1646.0,45,Comedy,Romance,
Stella Maris,1918,9652.0,2007,3,6.9,1582.0,84,Drama,,
Tarzan of the Apes,1918,9682.0,1996,3,5.8,935.0,73,Action,Adventure,
Broken Blossoms or The Yellow Man and the Girl,1919,9968.0,2588,0,7.2,11084.0,90,Drama,Romance,
When the Clouds Roll by,1919,10879.0,2018,3,6.9,985.0,85,Action,Comedy,Romance
"Cabinet of Dr. Caligari, The",1920,10323.0,1306,0,8.0,70264.0,67,Horror,Mystery,Thriller
Pollyanna,1920,11588.0,1991,3,6.4,511.0,58,Comedy,Drama,Family
